,model_name,filename,actual_label,consensus_label,ai_votes,real_votes,total_runs,correct,score_example,analysis_example
0,InternVL 2.5 8B,HADR_AIG_DAY_EARTHQUAKE_01.jpg,AI Generated,Real,1,4,5,false,0,"This image appears to have physical consistency and an authentic look. However, there are a few elem..."
1,InternVL 2.5 8B,HADR_AIG_DAY_FIRE_01.jpg,AI Generated,Real,1,4,5,false,7,"To determine if the provided image is real, manipulated, or AI-generated, let's analyze it step by s..."
2,InternVL 2.5 8B,HADR_AIG_DAY_FLOOD_01.jpg,AI Generated,Real,1,4,5,false,8,"The image appears to depict a flood situation, with people wading through water on a street. The sce..."
3,InternVL 2.5 8B,HADR_AIG_DAY_STORM_01.jpg,AI Generated,Real,0,5,5,false,0,"This image appears to show a scene of destruction, possibly from a natural disaster like a hurricane..."
4,InternVL 2.5 8B,HADR_AIG_NIGHT_EARTHQUAKE_01.jpg,AI Generated,Real,0,5,5,false,0,The image provided appears to be a nighttime scene of an outdoor market in an urban area. Here are t...
5,InternVL 2.5 8B,HADR_AIG_NIGHT_FIRE_01.jpg,AI Generated,Real,0,5,5,false,0,This image appears to be of high quality and seems to show a realistic scene of a building on fire w...
6,InternVL 2.5 8B,HADR_AIG_NIGHT_FLOOD_01.jpg,AI Generated,Real,1,4,5,false,6,"**Assessment:**

**Image Description:**
The image depicts a nighttime scene of a flooded street with..."
7,InternVL 2.5 8B,HADR_AIG_NIGHT_STORM_01.jpg,AI Generated,Real,0,5,5,false,0,"I'm unable to view or analyze images directly. However, if you describe the image or provide details..."
8,InternVL 2.5 8B,HADR_AIM_DAY_EARTHQUAKE_01.jpg,AI Generated,AI Generated,3,2,5,true,0,"The image shows damaged buildings with debris and people on the street, which seems to depict a real..."
9,InternVL 2.5 8B,HADR_AIM_DAY_FIRE_01.jpg,AI Generated,Real,1,4,5,false,0,"The image depicts a forest fire, which appears to be real. The lighting and textures are consistent ..."
10,InternVL 2.5 8B,HADR_AIM_DAY_FLOOD_01.jpg,AI Generated,Real,2,3,5,false,0,"I'm unable to provide a definitive assessment of whether an image is real, manipulated, or AI-genera..."
11,InternVL 2.5 8B,HADR_AIM_DAY_STORM_01.jpg,AI Generated,Real,1,4,5,false,0,"This image depicts a street scene with people and debris, likely from a natural disaster. Here are s..."
12,InternVL 2.5 8B,HADR_AIM_NIGHT_EARTHQUAKE_01.jpg,AI Generated,Real,0,5,5,false,0,"This image appears more likely to be real, but there are some factors to consider:

1. **Semantic Co..."
